time,type
2022-07-06 08:00:00,JAM
2022-07-06 09:00:00,JAM
2022-07-06 10:00:00,JAM
2022-07-06 12:00:00,JAM
2022-07-06 13:00:00,JAM
2022-07-06 17:00:00,JAM
2022-07-06 18:00:00,JAM
2022-07-06 19:00:00,JAM
2022-07-07 11:00:00,JAM
2022-07-07 12:00:00,JAM
2022-07-07 16:00:00,WEATHERHAZARD
2022-07-07 17:00:00,JAM
2022-07-07 17:00:00,WEATHERHAZARD
2022-07-07 18:00:00,JAM
2022-07-07 20:00:00,WEATHERHAZARD
2022-07-08 17:00:00,JAM
2022-07-08 20:00:00,JAM
2022-07-08 20:00:00,WEATHERHAZARD
2022-07-09 09:00:00,JAM
2022-07-09 16:00:00,JAM
2022-07-09 17:00:00,JAM
2022-07-09 19:00:00,JAM
2022-07-10 15:00:00,JAM
2022-07-10 16:00:00,JAM
2022-07-10 17:00:00,JAM
2022-07-11 08:00:00,JAM
2022-07-11 09:00:00,JAM
2022-07-11 16:00:00,JAM
2022-07-11 18:00:00,JAM
2022-07-11 18:00:00,WEATHERHAZARD
2022-07-11 19:00:00,JAM
2022-07-11 19:00:00,WEATHERHAZARD
2022-07-11 20:00:00,WEATHERHAZARD
2022-07-11 21:00:00,WEATHERHAZARD
2022-07-12 08:00:00,JAM
2022-07-12 08:00:00,WEATHERHAZARD
2022-07-12 18:00:00,JAM
2022-07-12 19:00:00,JAM
2022-07-13 09:00:00,JAM
2022-07-13 10:00:00,JAM
2022-07-13 11:00:00,JAM
2022-07-13 13:00:00,JAM
2022-07-13 14:00:00,JAM
2022-07-14 11:00:00,JAM
2022-07-14 12:00:00,JAM
2022-07-14 12:00:00,WEATHERHAZARD
2022-07-14 13:00:00,JAM
2022-07-15 08:00:00,WEATHERHAZARD
2022-07-15 09:00:00,WEATHERHAZARD
2022-07-15 17:00:00,JAM
2022-07-15 17:00:00,WEATHERHAZARD
2022-07-15 18:00:00,JAM
2022-07-15 18:00:00,WEATHERHAZARD
2022-07-15 19:00:00,JAM
2022-07-15 20:00:00,JAM
2022-07-15 21:00:00,JAM
2022-07-16 07:00:00,JAM
2022-07-16 10:00:00,JAM
2022-07-16 11:00:00,JAM
2022-07-16 12:00:00,JAM
2022-07-16 13:00:00,JAM
2022-07-16 14:00:00,JAM
2022-07-16 15:00:00,JAM
2022-07-16 16:00:00,JAM
2022-07-16 17:00:00,JAM
2022-07-16 18:00:00,JAM
2022-07-16 19:00:00,JAM
2022-07-16 20:00:00,JAM
2022-07-16 21:00:00,JAM
2022-07-17 12:00:00,JAM
2022-07-17 13:00:00,JAM
2022-07-17 14:00:00,JAM
2022-07-17 15:00:00,JAM
2022-07-17 16:00:00,JAM
2022-07-17 17:00:00,JAM
2022-07-17 18:00:00,JAM
2022-07-17 19:00:00,JAM
2022-07-17 20:00:00,JAM
2022-07-17 21:00:00,JAM
2022-07-18 06:00:00,JAM
2022-07-18 07:00:00,JAM
2022-07-18 10:00:00,JAM
2022-07-20 06:00:00,JAM
2022-07-20 07:00:00,JAM
2022-07-20 12:00:00,JAM
2022-07-20 13:00:00,JAM
2022-07-20 14:00:00,JAM
2022-07-20 15:00:00,JAM
2022-07-20 19:00:00,WEATHERHAZARD
2022-07-20 20:00:00,WEATHERHAZARD
2022-07-21 07:00:00,JAM
2022-07-21 07:00:00,WEATHERHAZARD
2022-07-21 08:00:00,JAM
2022-07-21 09:00:00,JAM
2022-07-21 10:00:00,JAM
2022-07-21 11:00:00,JAM
2022-07-21 17:00:00,JAM
2022-07-21 20:00:00,JAM
2022-07-21 20:00:00,WEATHERHAZARD
2022-07-22 09:00:00,JAM
2022-07-22 10:00:00,JAM
2022-07-22 14:00:00,JAM
2022-07-22 18:00:00,WEATHERHAZARD
2022-07-22 19:00:00,WEATHERHAZARD
2022-07-22 20:00:00,WEATHERHAZARD
2022-07-23 07:00:00,JAM
2022-07-23 08:00:00,JAM
2022-07-23 19:00:00,JAM
2022-07-23 20:00:00,JAM
2022-07-24 10:00:00,JAM
2022-07-24 11:00:00,JAM
2022-07-24 12:00:00,JAM
2022-07-24 13:00:00,JAM
2022-07-24 14:00:00,JAM
2022-07-24 15:00:00,JAM
2022-07-24 16:00:00,JAM
2022-07-24 18:00:00,WEATHERHAZARD
2022-07-25 06:00:00,JAM
2022-07-25 07:00:00,JAM
2022-07-25 08:00:00,JAM
2022-07-25 09:00:00,JAM
2022-07-25 10:00:00,JAM
2022-07-25 15:00:00,JAM
2022-07-25 16:00:00,JAM
2022-07-25 17:00:00,JAM
2022-07-25 18:00:00,JAM
2022-07-25 19:00:00,JAM
2022-07-26 07:00:00,JAM
2022-07-26 08:00:00,JAM
2022-07-26 09:00:00,JAM
2022-07-26 09:00:00,WEATHERHAZARD
2022-07-26 10:00:00,JAM
2022-07-26 10:00:00,WEATHERHAZARD
2022-07-26 15:00:00,JAM
2022-07-26 16:00:00,JAM
2022-07-26 17:00:00,JAM
2022-07-26 18:00:00,JAM
2022-07-26 19:00:00,JAM
2022-07-26 20:00:00,WEATHERHAZARD
2022-07-26 21:00:00,WEATHERHAZARD
2022-07-26 22:00:00,WEATHERHAZARD
2022-07-27 10:00:00,JAM
2022-07-27 11:00:00,JAM
2022-07-27 19:00:00,JAM
2022-07-27 19:00:00,WEATHERHAZARD
2022-07-27 20:00:00,WEATHERHAZARD
2022-07-28 16:00:00,JAM
2022-07-28 17:00:00,JAM
2022-07-28 19:00:00,JAM
2022-07-28 19:00:00,WEATHERHAZARD
2022-07-28 20:00:00,JAM
2022-07-28 20:00:00,WEATHERHAZARD
2022-07-28 21:00:00,WEATHERHAZARD
2022-07-29 06:00:00,JAM
2022-07-29 07:00:00,JAM
2022-07-29 09:00:00,JAM
2022-07-29 09:00:00,WEATHERHAZARD
2022-07-29 10:00:00,JAM
2022-07-29 11:00:00,JAM
2022-07-29 14:00:00,JAM
2022-07-29 16:00:00,JAM
2022-07-29 17:00:00,JAM
2022-07-29 18:00:00,JAM
2022-07-29 19:00:00,JAM
2022-07-29 19:00:00,WEATHERHAZARD
2022-07-29 20:00:00,JAM
2022-07-29 20:00:00,WEATHERHAZARD
2022-07-30 08:00:00,JAM
2022-07-30 09:00:00,JAM
2022-07-30 10:00:00,JAM
2022-07-30 10:00:00,WEATHERHAZARD
2022-07-30 11:00:00,JAM
2022-07-30 11:00:00,WEATHERHAZARD
2022-07-30 12:00:00,JAM
2022-07-30 14:00:00,JAM
2022-07-30 15:00:00,JAM
2022-07-30 16:00:00,JAM
2022-07-30 18:00:00,JAM
2022-07-30 19:00:00,JAM
2022-07-30 20:00:00,JAM
2022-07-30 21:00:00,JAM
2022-07-30 22:00:00,JAM
2022-07-31 09:00:00,JAM
2022-07-31 10:00:00,JAM
2022-07-31 10:00:00,WEATHERHAZARD
2022-07-31 11:00:00,JAM
2022-07-31 11:00:00,WEATHERHAZARD
2022-07-31 12:00:00,JAM
2022-07-31 12:00:00,WEATHERHAZARD
2022-07-31 13:00:00,JAM
2022-07-31 14:00:00,JAM
2022-07-31 15:00:00,JAM
2022-07-31 16:00:00,JAM
2022-07-31 16:00:00,WEATHERHAZARD
2022-07-31 17:00:00,JAM
2022-07-31 18:00:00,JAM
2022-07-31 19:00:00,JAM
2022-07-31 20:00:00,JAM
2022-07-31 21:00:00,JAM
2022-08-01 06:00:00,JAM
2022-08-01 07:00:00,JAM
2022-08-01 11:00:00,JAM
2022-08-01 12:00:00,JAM
2022-08-01 14:00:00,JAM
2022-08-01 15:00:00,JAM
2022-08-01 16:00:00,JAM
2022-08-01 16:00:00,WEATHERHAZARD
2022-08-01 17:00:00,WEATHERHAZARD
2022-08-01 17:00:00,JAM
2022-08-01 18:00:00,JAM
2022-08-01 19:00:00,JAM
2022-08-02 16:00:00,JAM
2022-08-02 17:00:00,JAM
2022-08-02 19:00:00,JAM
2022-08-02 19:00:00,WEATHERHAZARD
2022-08-03 07:00:00,JAM
2022-08-03 08:00:00,JAM
2022-08-03 14:00:00,JAM
2022-08-03 15:00:00,JAM
2022-08-03 16:00:00,JAM
2022-08-03 17:00:00,JAM
2022-08-03 18:00:00,JAM
2022-08-03 19:00:00,JAM
2022-08-03 19:00:00,WEATHERHAZARD
2022-08-03 20:00:00,JAM
2022-08-03 20:00:00,WEATHERHAZARD
2022-08-04 08:00:00,WEATHERHAZARD
2022-08-04 09:00:00,JAM
2022-08-04 09:00:00,WEATHERHAZARD
2022-08-04 10:00:00,JAM
2022-08-04 11:00:00,JAM
2022-08-04 12:00:00,JAM
2022-08-04 14:00:00,JAM
2022-08-04 15:00:00,JAM
2022-08-04 16:00:00,JAM
2022-08-04 17:00:00,JAM
2022-08-04 18:00:00,JAM
2022-08-04 18:00:00,WEATHERHAZARD
2022-08-05 07:00:00,JAM
2022-08-05 08:00:00,JAM
2022-08-05 11:00:00,JAM
2022-08-05 12:00:00,JAM
2022-08-05 13:00:00,JAM
2022-08-05 14:00:00,JAM
2022-08-05 17:00:00,JAM
2022-08-05 20:00:00,JAM
2022-08-06 11:00:00,JAM
2022-08-06 12:00:00,JAM
2022-08-06 14:00:00,JAM
2022-08-06 15:00:00,JAM
2022-08-06 18:00:00,JAM
2022-08-06 19:00:00,JAM
2022-08-07 07:00:00,JAM
2022-08-07 08:00:00,JAM
2022-08-07 09:00:00,JAM
2022-08-07 10:00:00,JAM
2022-08-07 11:00:00,JAM
2022-08-07 12:00:00,JAM
2022-08-07 13:00:00,JAM
2022-08-07 14:00:00,JAM
2022-08-07 15:00:00,JAM
2022-08-07 16:00:00,JAM
2022-08-07 17:00:00,JAM
2022-08-07 18:00:00,JAM
2022-08-07 19:00:00,JAM
2022-08-07 20:00:00,JAM
2022-08-07 21:00:00,JAM
2022-08-07 22:00:00,JAM
2022-08-08 06:00:00,JAM
2022-08-08 07:00:00,JAM
2022-08-08 10:00:00,JAM
2022-08-08 11:00:00,JAM
2022-08-08 12:00:00,JAM
2022-08-08 13:00:00,JAM
2022-08-08 14:00:00,JAM
2022-08-08 15:00:00,JAM
2022-08-08 17:00:00,JAM
2022-08-08 18:00:00,JAM
2022-08-08 18:00:00,WEATHERHAZARD
2022-08-09 06:00:00,JAM
2022-08-09 07:00:00,JAM
2022-08-09 14:00:00,JAM
2022-08-09 15:00:00,JAM
2022-08-09 16:00:00,JAM
2022-08-10 06:00:00,JAM
2022-08-10 07:00:00,JAM
2022-08-10 09:00:00,JAM
2022-08-10 11:00:00,JAM
2022-08-10 12:00:00,JAM
2022-08-10 13:00:00,JAM
2022-08-10 14:00:00,JAM
2022-08-10 15:00:00,JAM
2022-08-10 16:00:00,JAM
2022-08-10 19:00:00,JAM
2022-08-10 19:00:00,WEATHERHAZARD
2022-08-10 20:00:00,JAM
2022-08-10 20:00:00,WEATHERHAZARD
2022-08-11 00:00:00,JAM
2022-08-11 06:00:00,ACCIDENT
2022-08-11 06:00:00,JAM
2022-08-11 07:00:00,ACCIDENT
2022-08-11 07:00:00,JAM
2022-08-11 08:00:00,ACCIDENT
2022-08-11 08:00:00,JAM
2022-08-11 08:00:00,WEATHERHAZARD
2022-08-11 09:00:00,ACCIDENT
2022-08-11 09:00:00,WEATHERHAZARD
2022-08-11 09:00:00,JAM
2022-08-11 10:00:00,JAM
2022-08-11 11:00:00,JAM
2022-08-11 16:00:00,ACCIDENT
2022-08-11 16:00:00,JAM
2022-08-11 17:00:00,ACCIDENT
2022-08-11 17:00:00,JAM
2022-08-11 18:00:00,ACCIDENT
2022-08-12 13:00:00,JAM
2022-08-12 14:00:00,JAM
2022-08-12 15:00:00,JAM
2022-08-12 16:00:00,JAM
2022-08-12 17:00:00,JAM
2022-08-12 18:00:00,JAM
2022-08-12 19:00:00,JAM
2022-08-12 20:00:00,WEATHERHAZARD
2022-08-13 10:00:00,JAM
2022-08-13 12:00:00,JAM
2022-08-13 14:00:00,JAM
2022-08-13 15:00:00,JAM
2022-08-13 15:00:00,WEATHERHAZARD
2022-08-13 16:00:00,JAM
2022-08-13 16:00:00,WEATHERHAZARD
2022-08-13 17:00:00,JAM
2022-08-13 18:00:00,JAM
2022-08-13 19:00:00,JAM
2022-08-13 20:00:00,JAM
2022-08-13 21:00:00,JAM
2022-08-13 22:00:00,JAM
2022-08-13 23:00:00,JAM
2022-08-14 17:00:00,JAM
2022-08-14 18:00:00,JAM
2022-08-14 19:00:00,JAM
2022-08-14 20:00:00,JAM
2022-08-14 21:00:00,JAM
2022-08-15 07:00:00,JAM
2022-08-15 08:00:00,JAM
2022-08-15 09:00:00,JAM
2022-08-15 10:00:00,JAM
2022-08-15 11:00:00,JAM
2022-08-15 12:00:00,JAM
2022-08-15 17:00:00,JAM
2022-08-15 18:00:00,JAM
2022-08-15 19:00:00,JAM
2022-08-16 06:00:00,JAM
2022-08-16 07:00:00,JAM
2022-08-16 08:00:00,JAM
2022-08-16 09:00:00,JAM
2022-08-16 11:00:00,JAM
2022-08-16 12:00:00,JAM
2022-08-16 14:00:00,JAM
2022-08-16 15:00:00,JAM
2022-08-16 16:00:00,JAM
2022-08-16 17:00:00,JAM
2022-08-16 18:00:00,JAM
2022-08-16 19:00:00,JAM
2022-08-16 20:00:00,JAM
2022-08-16 20:00:00,WEATHERHAZARD
2022-08-16 21:00:00,JAM
2022-08-16 21:00:00,WEATHERHAZARD
2022-08-17 14:00:00,WEATHERHAZARD
2022-08-17 15:00:00,WEATHERHAZARD
2022-08-17 16:00:00,JAM
2022-08-17 16:00:00,WEATHERHAZARD
2022-08-17 17:00:00,JAM
2022-08-17 20:00:00,WEATHERHAZARD
2022-08-18 07:00:00,JAM
2022-08-18 08:00:00,JAM
2022-08-18 09:00:00,JAM
2022-08-18 10:00:00,JAM
2022-08-18 14:00:00,JAM
2022-08-18 15:00:00,JAM
2022-08-18 17:00:00,JAM
2022-08-18 18:00:00,JAM
2022-08-19 14:00:00,JAM
2022-08-19 15:00:00,JAM
2022-08-19 17:00:00,JAM
2022-08-19 18:00:00,JAM
2022-08-19 19:00:00,JAM
2022-08-19 21:00:00,JAM
2022-08-20 06:00:00,JAM
2022-08-20 07:00:00,JAM
2022-08-20 09:00:00,JAM
2022-08-20 10:00:00,JAM
2022-08-20 11:00:00,JAM
2022-08-20 15:00:00,JAM
2022-08-21 10:00:00,WEATHERHAZARD
2022-08-21 11:00:00,JAM
2022-08-21 11:00:00,WEATHERHAZARD
2022-08-21 17:00:00,JAM
2022-08-21 18:00:00,JAM
2022-08-21 20:00:00,JAM
2022-08-21 21:00:00,JAM
2022-08-21 22:00:00,JAM
2022-08-22 06:00:00,JAM
2022-08-22 07:00:00,JAM
2022-08-22 08:00:00,JAM
2022-08-22 09:00:00,JAM
2022-08-22 10:00:00,JAM
2022-08-22 11:00:00,JAM
2022-08-22 17:00:00,JAM
2022-08-22 18:00:00,JAM
2022-08-22 18:00:00,WEATHERHAZARD
2022-08-23 07:00:00,JAM
2022-08-23 08:00:00,WEATHERHAZARD
2022-08-23 15:00:00,JAM
2022-08-23 16:00:00,JAM
2022-08-24 06:00:00,JAM
2022-08-24 07:00:00,JAM
2022-08-24 08:00:00,JAM
2022-08-24 09:00:00,JAM
2022-08-24 10:00:00,JAM
2022-08-24 16:00:00,JAM
2022-08-24 17:00:00,JAM
2022-08-24 20:00:00,WEATHERHAZARD
2022-08-24 21:00:00,JAM
2022-08-24 21:00:00,WEATHERHAZARD
2022-08-25 06:00:00,JAM
2022-08-25 07:00:00,JAM
2022-08-25 08:00:00,JAM
2022-08-25 10:00:00,JAM
2022-08-25 11:00:00,JAM
2022-08-25 15:00:00,JAM
2022-08-25 16:00:00,JAM
2022-08-25 17:00:00,JAM
2022-08-25 18:00:00,JAM
2022-08-25 20:00:00,JAM
2022-08-26 06:00:00,JAM
2022-08-26 07:00:00,JAM
2022-08-26 10:00:00,JAM
2022-08-26 12:00:00,JAM
2022-08-26 13:00:00,JAM
2022-08-26 14:00:00,JAM
2022-08-26 21:00:00,JAM
2022-08-27 06:00:00,JAM
2022-08-27 07:00:00,JAM
2022-08-27 09:00:00,JAM
2022-08-27 13:00:00,JAM
2022-08-27 14:00:00,JAM
2022-08-27 16:00:00,WEATHERHAZARD
2022-08-27 17:00:00,JAM
2022-08-27 17:00:00,WEATHERHAZARD
2022-08-27 18:00:00,JAM
2022-08-27 19:00:00,JAM
2022-08-27 20:00:00,WEATHERHAZARD
2022-08-27 21:00:00,JAM
2022-08-27 21:00:00,WEATHERHAZARD
2022-08-27 22:00:00,JAM
2022-08-28 06:00:00,JAM
2022-08-28 07:00:00,JAM
2022-08-28 12:00:00,JAM
2022-08-28 13:00:00,JAM
2022-08-28 14:00:00,JAM
2022-08-28 15:00:00,JAM
2022-08-28 16:00:00,JAM
2022-08-28 17:00:00,JAM
2022-08-28 17:00:00,WEATHERHAZARD
2022-08-28 19:00:00,JAM
2022-08-28 20:00:00,JAM
2022-08-29 06:00:00,JAM
2022-08-29 07:00:00,JAM
2022-08-29 07:00:00,WEATHERHAZARD
2022-08-29 08:00:00,JAM
2022-08-29 08:00:00,WEATHERHAZARD
2022-08-29 15:00:00,JAM
2022-08-30 08:00:00,JAM
2022-08-30 09:00:00,JAM
2022-08-30 16:00:00,JAM
2022-08-30 18:00:00,JAM
2022-08-30 19:00:00,JAM
2022-08-30 20:00:00,JAM
2022-08-31 10:00:00,JAM
2022-08-31 11:00:00,JAM
2022-08-31 12:00:00,JAM
2022-08-31 16:00:00,JAM
2022-08-31 17:00:00,JAM
2022-08-31 19:00:00,WEATHERHAZARD
2022-08-31 20:00:00,WEATHERHAZARD
2022-09-01 07:00:00,JAM
2022-09-01 07:00:00,WEATHERHAZARD
2022-09-01 10:00:00,JAM
2022-09-01 12:00:00,JAM
2022-09-01 15:00:00,JAM
2022-09-01 16:00:00,JAM
2022-09-01 21:00:00,JAM
2022-09-01 21:00:00,WEATHERHAZARD
2022-09-02 05:00:00,JAM
2022-09-02 06:00:00,JAM
2022-09-02 07:00:00,JAM
2022-09-02 08:00:00,WEATHERHAZARD
2022-09-02 09:00:00,WEATHERHAZARD
2022-09-02 10:00:00,JAM
2022-09-02 10:00:00,WEATHERHAZARD
2022-09-02 11:00:00,JAM
2022-09-02 11:00:00,WEATHERHAZARD
2022-09-02 12:00:00,JAM
2022-09-02 12:00:00,WEATHERHAZARD
2022-09-02 13:00:00,JAM
2022-09-02 13:00:00,WEATHERHAZARD
2022-09-02 14:00:00,WEATHERHAZARD
2022-09-02 15:00:00,WEATHERHAZARD
2022-09-02 16:00:00,WEATHERHAZARD
2022-09-02 17:00:00,WEATHERHAZARD
2022-09-02 18:00:00,JAM
2022-09-02 18:00:00,WEATHERHAZARD
2022-09-02 19:00:00,JAM
2022-09-02 19:00:00,WEATHERHAZARD
2022-09-02 20:00:00,WEATHERHAZARD
2022-09-02 21:00:00,WEATHERHAZARD
2022-09-03 10:00:00,JAM
2022-09-03 11:00:00,JAM
2022-09-03 12:00:00,JAM
2022-09-03 15:00:00,JAM
2022-09-03 16:00:00,JAM
2022-09-04 10:00:00,JAM
2022-09-04 11:00:00,JAM
2022-09-04 12:00:00,JAM
2022-09-04 13:00:00,JAM
2022-09-04 14:00:00,JAM
2022-09-04 19:00:00,JAM
2022-09-04 20:00:00,JAM
2022-09-04 21:00:00,JAM
